order_timestamp;distance_in_meters;duration_in_seconds;tender_timestamp;pickup_in_meters;pickup_in_seconds;price_start_local
01.06.2020 1:19;1769;223;01.06.2020 1:19;1269;181;200
01.06.2020 1:32;0;0;01.06.2020 1:32;557;118;300
01.06.2020 1:41;1543;211;01.06.2020 1:42;1250;207;190
01.06.2020 1:42;2703;419;01.06.2020 1:42;1558;248;200
01.06.2020 1:43;2262;296;01.06.2020 1:43;1068;182;200
01.06.2020 1:43;0;0;01.06.2020 1:43;7772;732;1000
01.06.2020 1:44;9297;856;01.06.2020 1:44;443;77;300
01.06.2020 1:48;2837;366;01.06.2020 1:48;977;130;200
01.06.2020 1:48;1634;189;01.06.2020 1:48;1588;197;200
01.06.2020 1:48;1634;189;01.06.2020 1:48;727;106;200
01.06.2020 1:51;6070;612;01.06.2020 1:53;3935;403;250
01.06.2020 1:51;7533;931;01.06.2020 1:52;1243;157;250
01.06.2020 1:51;1065;189;01.06.2020 1:52;1636;288;200
01.06.2020 1:55;1113;133;01.06.2020 1:55;660;90;200
01.06.2020 1:56;0;0;01.06.2020 1:56;2975;349;250
01.06.2020 1:56;5578;605;01.06.2020 1:58;1297;122;200
01.06.2020 1:58;2045;257;01.06.2020 1:58;999;138;200
01.06.2020 2:02;1318;204;01.06.2020 2:02;625;87;200
01.06.2020 2:02;1318;204;01.06.2020 2:02;662;96;200
01.06.2020 2:03;2560;350;01.06.2020 2:03;1330;191;200
01.06.2020 2:09;1443;158;01.06.2020 2:09;883;113;200
01.06.2020 2:14;6397;741;01.06.2020 2:14;2659;284;300
01.06.2020 2:14;2393;265;01.06.2020 2:14;752;128;200
01.06.2020 2:15;2508;337;01.06.2020 2:15;1086;138;150
01.06.2020 2:16;2445;278;01.06.2020 2:16;440;97;200
01.06.2020 2:21;1741;257;01.06.2020 2:21;1410;203;150
01.06.2020 2:22;2158;343;01.06.2020 2:23;1345;217;110
01.06.2020 2:24;0;0;01.06.2020 2:24;520;69;200
01.06.2020 2:24;0;0;01.06.2020 2:24;552;77;200
01.06.2020 2:25;1894;317;01.06.2020 2:25;662;106;200
01.06.2020 2:27;2772;385;01.06.2020 2:27;1149;127;200
01.06.2020 2:31;9588;1043;01.06.2020 2:39;8172;993;500
01.06.2020 2:32;0;0;01.06.2020 2:39;1825;286;200
01.06.2020 2:43;0;0;01.06.2020 2:43;1511;247;340
01.06.2020 2:54;0;0;01.06.2020 2:57;508;74;200
01.06.2020 2:55;6728;803;01.06.2020 2:56;1415;272;350
01.06.2020 3:12;2269;289;01.06.2020 3:12;112;25;150
01.06.2020 3:12;1823;297;01.06.2020 3:12;93;21;200
01.06.2020 3:16;4898;494;01.06.2020 3:21;4965;349;150
01.06.2020 3:16;4898;494;01.06.2020 3:21;1765;229;150
01.06.2020 3:25;6975;827;01.06.2020 3:25;360;42;300
01.06.2020 3:26;2802;378;01.06.2020 3:26;3354;487;200
01.06.2020 3:37;0;0;01.06.2020 3:37;1053;136;200
01.06.2020 3:40;7393;801;01.06.2020 3:40;3476;334;350
01.06.2020 3:42;0;0;01.06.2020 3:42;845;133;350
01.06.2020 3:43;6679;800;01.06.2020 3:43;751;112;300
01.06.2020 3:44;2853;418;01.06.2020 3:44;790;115;200
01.06.2020 3:57;1816;303;01.06.2020 3:58;1498;257;200
01.06.2020 4:07;3653;486;01.06.2020 4:08;964;131;200
01.06.2020 4:16;4878;488;01.06.2020 4:25;653;144;200
01.06.2020 4:18;8059;728;01.06.2020 4:18;2464;399;300
01.06.2020 4:18;8059;728;01.06.2020 4:19;3474;508;300
01.06.2020 4:23;1523;207;01.06.2020 4:23;650;96;200
01.06.2020 4:24;2668;331;01.06.2020 4:24;1872;264;200
01.06.2020 4:26;2668;331;01.06.2020 4:26;1448;188;200
01.06.2020 4:29;1796;243;01.06.2020 4:31;1517;202;150
01.06.2020 4:32;2897;436;01.06.2020 4:32;654;57;200
01.06.2020 4:33;1796;243;01.06.2020 4:34;262;44;200
01.06.2020 4:35;8142;944;01.06.2020 4:36;3149;490;350
01.06.2020 4:41;2283;299;01.06.2020 4:42;0;0;200
01.06.2020 4:49;2424;353;01.06.2020 4:49;859;124;300
01.06.2020 5:06;0;0;01.06.2020 5:06;51;10;250
01.06.2020 5:06;0;0;01.06.2020 5:06;147;19;250
01.06.2020 5:16;0;0;01.06.2020 5:18;3086;441;250
01.06.2020 5:28;4980;681;01.06.2020 5:28;984;165;200
01.06.2020 5:28;4980;681;01.06.2020 5:28;981;164;200
01.06.2020 5:31;0;0;01.06.2020 5:39;859;120;200
01.06.2020 5:49;1494;218;01.06.2020 5:50;1316;203;200
01.06.2020 5:49;1494;218;01.06.2020 5:50;1358;264;200
01.06.2020 5:54;2733;405;01.06.2020 5:54;1262;182;150
01.06.2020 6:00;6748;681;01.06.2020 6:00;3758;402;250
01.06.2020 6:01;2847;328;01.06.2020 6:01;1432;183;150
01.06.2020 6:02;1537;229;01.06.2020 6:02;1505;182;200
01.06.2020 6:05;5963;624;01.06.2020 6:05;779;126;200
01.06.2020 6:12;2057;327;01.06.2020 6:12;472;69;160
01.06.2020 6:24;3979;467;01.06.2020 6:25;2129;222;200
01.06.2020 6:29;7004;720;01.06.2020 6:29;1260;160;300
01.06.2020 6:33;0;0;01.06.2020 6:33;489;79;150
01.06.2020 6:42;0;0;01.06.2020 6:42;598;94;300
01.06.2020 6:42;0;0;01.06.2020 6:42;2234;318;300
01.06.2020 6:46;4404;436;01.06.2020 6:46;893;108;150
01.06.2020 7:19;0;0;01.06.2020 7:19;2010;309;300
01.06.2020 7:19;0;0;01.06.2020 7:19;2520;337;300
01.06.2020 7:22;5799;672;01.06.2020 7:22;5057;518;150
01.06.2020 7:22;8334;796;01.06.2020 7:22;927;148;250
01.06.2020 7:22;8334;796;01.06.2020 7:22;371;75;250
01.06.2020 7:30;5956;658;01.06.2020 7:30;210;40;250
01.06.2020 7:37;2175;302;01.06.2020 7:37;1215;147;150
01.06.2020 8:02;7714;825;01.06.2020 8:02;767;126;250
01.06.2020 8:02;7714;825;01.06.2020 8:02;810;132;250
01.06.2020 8:05;8643;660;01.06.2020 8:05;201;40;350
01.06.2020 8:08;14305;971;01.06.2020 8:08;1101;157;300
01.06.2020 8:09;2165;299;01.06.2020 8:09;470;95;150
01.06.2020 8:10;4275;498;01.06.2020 8:10;1874;259;150
01.06.2020 8:24;1242;161;01.06.2020 8:24;448;67;150
01.06.2020 8:27;2361;256;01.06.2020 8:28;1009;140;200
01.06.2020 8:30;3128;360;01.06.2020 8:30;2209;279;200
01.06.2020 8:36;0;0;01.06.2020 8:36;478;73;250
01.06.2020 8:40;7083;865;01.06.2020 8:40;293;27;200
01.06.2020 8:40;0;0;01.06.2020 8:40;1286;163;150
01.06.2020 8:40;6626;747;01.06.2020 8:40;1606;297;250
01.06.2020 8:41;2158;317;01.06.2020 8:41;1282;172;150
01.06.2020 8:41;2158;317;01.06.2020 8:41;714;113;150
01.06.2020 8:41;0;0;01.06.2020 8:42;1321;222;500
01.06.2020 8:41;0;0;01.06.2020 8:42;880;135;500
01.06.2020 8:42;2026;306;01.06.2020 8:42;1402;180;150
01.06.2020 8:43;6626;747;01.06.2020 8:43;1603;297;250
01.06.2020 8:43;0;0;01.06.2020 8:43;1338;225;510
01.06.2020 8:43;0;0;01.06.2020 8:43;880;135;510
01.06.2020 8:43;2767;348;01.06.2020 8:44;493;73;150
01.06.2020 8:45;0;0;01.06.2020 8:46;583;103;160
01.06.2020 8:45;0;0;01.06.2020 8:46;900;130;160
01.06.2020 8:49;0;0;01.06.2020 8:49;617;81;150
01.06.2020 8:50;0;0;01.06.2020 8:50;358;60;150
01.06.2020 8:50;0;0;01.06.2020 8:50;1236;144;160
01.06.2020 8:50;0;0;01.06.2020 8:50;132;17;160
01.06.2020 8:51;7296;764;01.06.2020 8:52;293;47;200
01.06.2020 8:53;8624;794;01.06.2020 8:53;249;60;300
01.06.2020 8:53;983;172;01.06.2020 8:53;267;59;150
01.06.2020 8:55;1334;202;01.06.2020 8:55;1204;138;150
01.06.2020 9:03;0;0;01.06.2020 9:03;265;53;350
01.06.2020 9:04;3960;413;01.06.2020 9:05;1747;287;200
01.06.2020 9:06;2621;313;01.06.2020 9:06;1619;212;150
01.06.2020 9:07;1595;204;01.06.2020 9:07;469;86;150
01.06.2020 9:09;1923;251;01.06.2020 9:10;455;69;150
01.06.2020 9:09;1923;251;01.06.2020 9:10;1055;122;150
01.06.2020 9:13;1616;237;01.06.2020 9:14;1540;223;150
01.06.2020 9:13;1011;152;01.06.2020 9:14;1664;218;150
01.06.2020 9:15;1687;261;01.06.2020 9:15;354;53;150
01.06.2020 9:19;0;0;01.06.2020 9:20;562;81;150
01.06.2020 9:20;0;0;01.06.2020 9:20;534;87;150
01.06.2020 9:21;4214;432;01.06.2020 9:22;783;119;200
01.06.2020 9:21;4214;432;01.06.2020 9:22;1487;227;200
01.06.2020 9:21;4214;432;01.06.2020 9:22;1497;186;200
01.06.2020 9:21;5342;596;01.06.2020 9:22;322;48;200
01.06.2020 9:24;1674;244;01.06.2020 9:24;811;102;150
01.06.2020 9:24;2923;373;01.06.2020 9:24;807;111;150
01.06.2020 9:29;235;42;01.06.2020 9:29;1038;169;150
01.06.2020 9:31;2633;360;01.06.2020 9:32;711;99;150
01.06.2020 9:31;2633;360;01.06.2020 9:32;632;92;150
01.06.2020 9:33;2939;354;01.06.2020 9:33;1350;247;200
01.06.2020 9:35;1607;232;01.06.2020 9:35;1518;210;150
01.06.2020 9:37;2707;346;01.06.2020 9:37;332;62;150
01.06.2020 9:40;1682;267;01.06.2020 9:40;556;92;200
01.06.2020 9:41;1871;267;01.06.2020 9:41;1103;165;150
01.06.2020 9:42;1419;154;01.06.2020 9:42;690;63;150
01.06.2020 9:43;0;0;01.06.2020 9:43;2065;198;200
01.06.2020 9:43;1871;267;01.06.2020 9:44;1103;165;150
01.06.2020 9:44;1845;296;01.06.2020 9:44;338;55;150
01.06.2020 9:44;0;0;01.06.2020 9:44;1637;261;180
01.06.2020 9:44;1786;283;01.06.2020 9:44;1734;248;150
01.06.2020 9:44;1918;288;01.06.2020 9:45;1170;182;150
01.06.2020 9:45;4154;446;01.06.2020 9:45;1026;132;150
01.06.2020 9:48;5064;539;01.06.2020 9:59;3783;349;250
01.06.2020 10:00;2880;480;01.06.2020 10:01;1484;228;200
01.06.2020 10:03;3305;541;01.06.2020 10:03;938;146;150
01.06.2020 10:08;2884;335;01.06.2020 10:08;507;65;150
01.06.2020 10:15;1241;180;01.06.2020 10:15;328;63;150
01.06.2020 10:18;5615;637;01.06.2020 10:19;1159;133;180
01.06.2020 10:18;1266;188;01.06.2020 10:18;440;84;150
01.06.2020 10:19;0;0;01.06.2020 10:19;1888;246;200
01.06.2020 10:25;1503;219;01.06.2020 10:25;862;110;150
01.06.2020 10:26;0;0;01.06.2020 10:26;1060;170;150
01.06.2020 10:27;0;0;01.06.2020 10:28;639;102;150
01.06.2020 10:27;0;0;01.06.2020 10:28;823;133;150
01.06.2020 10:28;2037;313;01.06.2020 10:28;302;57;150
01.06.2020 10:29;1193;210;01.06.2020 10:29;633;137;150
01.06.2020 10:32;1290;188;01.06.2020 10:32;886;130;150
01.06.2020 10:33;3600;411;01.06.2020 10:33;1646;147;200
01.06.2020 10:33;1733;252;01.06.2020 10:33;1002;155;150
01.06.2020 10:33;1733;252;01.06.2020 10:33;992;108;150
01.06.2020 10:34;1733;252;01.06.2020 10:34;1006;158;150
01.06.2020 10:37;6205;714;01.06.2020 10:37;854;141;250
01.06.2020 10:39;3828;492;01.06.2020 10:39;420;66;250
01.06.2020 10:39;3828;492;01.06.2020 10:39;728;102;250
01.06.2020 10:40;0;0;01.06.2020 10:41;412;76;150
01.06.2020 10:43;0;0;01.06.2020 10:43;675;113;200
01.06.2020 10:47;8401;1019;01.06.2020 10:48;221;44;200
01.06.2020 10:49;3932;550;01.06.2020 10:53;99;14;170
01.06.2020 10:52;0;0;01.06.2020 10:52;1388;214;200
01.06.2020 10:53;1484;241;01.06.2020 10:53;1338;214;150
01.06.2020 11:11;1773;306;01.06.2020 11:11;1543;241;150
01.06.2020 11:20;5557;583;01.06.2020 11:31;269;25;250
01.06.2020 11:24;4344;561;01.06.2020 11:25;546;101;250
01.06.2020 11:25;0;0;01.06.2020 11:26;688;76;250
01.06.2020 11:29;4327;464;01.06.2020 11:29;999;143;180
01.06.2020 11:35;2243;366;01.06.2020 11:35;1171;209;250
01.06.2020 11:37;2743;344;01.06.2020 11:38;1207;185;200
01.06.2020 11:41;2190;346;01.06.2020 11:41;234;51;150
01.06.2020 11:42;5002;686;01.06.2020 11:43;2379;271;250
01.06.2020 11:48;0;0;01.06.2020 11:48;328;56;150
01.06.2020 11:55;1905;325;01.06.2020 11:55;422;65;150
01.06.2020 11:56;0;0;01.06.2020 11:56;422;71;150
01.06.2020 12:01;1016;168;01.06.2020 12:01;381;70;150
01.06.2020 12:09;8745;728;01.06.2020 12:09;2247;316;250
01.06.2020 12:15;3141;366;01.06.2020 12:15;366;64;150
01.06.2020 12:16;5552;602;01.06.2020 12:16;778;97;250
01.06.2020 12:22;2938;406;01.06.2020 12:22;593;105;200
01.06.2020 12:23;0;0;01.06.2020 12:23;621;135;150
01.06.2020 12:28;1600;277;01.06.2020 12:28;411;81;150
01.06.2020 12:28;0;0;01.06.2020 12:29;1452;225;150
01.06.2020 12:30;0;0;01.06.2020 12:30;1452;225;150
01.06.2020 12:30;3892;445;01.06.2020 12:31;727;143;150
01.06.2020 12:33;920;181;01.06.2020 12:33;1711;246;150
01.06.2020 12:35;6101;656;01.06.2020 12:35;1843;195;200
01.06.2020 12:35;0;0;01.06.2020 12:36;1456;239;250
01.06.2020 12:39;10291;1096;01.06.2020 12:39;863;162;350
01.06.2020 12:45;1384;233;01.06.2020 12:46;389;69;160
01.06.2020 12:48;1014;157;01.06.2020 12:50;544;83;150
01.06.2020 12:48;9054;774;01.06.2020 12:48;766;141;300
01.06.2020 12:51;2919;427;01.06.2020 12:52;1564;176;200
01.06.2020 12:54;23568;1482;01.06.2020 12:58;5313;525;500
01.06.2020 12:55;4425;606;01.06.2020 13:00;1659;172;200
01.06.2020 12:56;6333;530;01.06.2020 12:56;2070;205;300
01.06.2020 12:59;3893;519;01.06.2020 12:59;487;71;200
01.06.2020 13:03;4243;565;01.06.2020 13:04;832;152;180
01.06.2020 13:09;2530;379;01.06.2020 13:09;397;78;150
01.06.2020 13:11;0;0;01.06.2020 13:11;1126;184;250
01.06.2020 13:11;0;0;01.06.2020 13:11;1215;206;150
01.06.2020 13:12;1908;338;01.06.2020 13:15;444;107;150
01.06.2020 13:16;0;0;01.06.2020 13:16;4209;373;250
01.06.2020 13:16;0;0;01.06.2020 13:17;1297;187;180
01.06.2020 13:32;5664;575;01.06.2020 13:36;283;41;250
01.06.2020 13:35;0;0;01.06.2020 13:36;519;91;150
01.06.2020 13:42;1971;288;01.06.2020 13:42;562;103;150
01.06.2020 13:43;3585;389;01.06.2020 13:43;245;51;150
01.06.2020 13:46;1632;198;01.06.2020 13:47;887;102;150
01.06.2020 13:49;4127;470;01.06.2020 13:50;2883;402;180
01.06.2020 13:56;1000;187;01.06.2020 13:56;764;136;150
01.06.2020 14:03;14405;824;01.06.2020 14:04;17326;919;400
01.06.2020 14:05;0;0;01.06.2020 14:05;503;80;150
01.06.2020 14:06;1737;214;01.06.2020 14:06;788;125;150
01.06.2020 14:11;1765;260;01.06.2020 14:11;386;68;200
01.06.2020 14:22;0;0;01.06.2020 14:22;37;9;150
01.06.2020 14:24;2953;407;01.06.2020 14:24;1004;156;150
01.06.2020 14:31;1196;181;01.06.2020 14:32;968;137;150
01.06.2020 14:31;2786;372;01.06.2020 14:33;765;94;150
01.06.2020 14:31;2786;372;01.06.2020 14:32;2412;205;150
01.06.2020 14:41;2078;306;01.06.2020 14:41;1105;168;150
01.06.2020 14:42;6035;690;01.06.2020 14:42;574;139;200
01.06.2020 14:47;0;0;01.06.2020 14:47;1903;274;150
01.06.2020 14:51;2545;281;01.06.2020 14:51;1005;170;150
01.06.2020 14:57;8269;978;01.06.2020 14:57;2177;330;300
01.06.2020 15:07;3033;334;01.06.2020 15:07;19;5;200
01.06.2020 15:07;2744;384;01.06.2020 15:07;1361;156;150
01.06.2020 15:07;3895;523;01.06.2020 15:07;296;37;170
01.06.2020 15:15;5048;490;01.06.2020 15:15;1550;194;200
01.06.2020 15:18;3367;418;01.06.2020 15:18;830;116;200
01.06.2020 15:19;3728;409;01.06.2020 15:20;2321;251;150
01.06.2020 15:23;1727;250;01.06.2020 15:23;469;80;150
01.06.2020 15:28;0;0;01.06.2020 15:28;284;55;150
01.06.2020 15:29;7827;885;01.06.2020 15:30;792;91;250
01.06.2020 15:35;4946;409;01.06.2020 15:35;360;72;250
01.06.2020 15:35;0;0;01.06.2020 15:35;797;90;250
01.06.2020 15:36;2583;308;01.06.2020 15:36;887;135;150
01.06.2020 15:41;3445;479;01.06.2020 15:41;749;130;200
01.06.2020 15:41;2528;326;01.06.2020 15:41;1006;165;200
01.06.2020 15:41;2590;350;01.06.2020 15:41;1158;188;150
01.06.2020 15:41;2727;416;01.06.2020 15:41;753;126;150
01.06.2020 15:47;1586;157;01.06.2020 15:47;372;52;150
01.06.2020 15:48;5295;464;01.06.2020 15:48;487;72;250
01.06.2020 15:53;0;0;01.06.2020 15:53;777;104;200
01.06.2020 15:54;0;0;01.06.2020 15:55;1665;271;300
01.06.2020 15:54;3121;429;01.06.2020 15:55;669;105;200
01.06.2020 15:57;9075;966;01.06.2020 15:58;665;139;250
01.06.2020 15:57;9075;966;01.06.2020 15:57;1563;195;250
01.06.2020 15:57;9633;741;01.06.2020 15:57;1641;220;500
01.06.2020 16:05;3545;385;01.06.2020 16:06;482;115;200
01.06.2020 16:05;3545;385;01.06.2020 16:06;494;73;200
01.06.2020 16:07;7558;808;01.06.2020 16:07;521;134;250
01.06.2020 16:11;2247;390;01.06.2020 16:12;537;97;150
01.06.2020 16:12;3353;440;01.06.2020 16:13;478;83;150
01.06.2020 16:12;3699;378;01.06.2020 16:12;211;34;150
01.06.2020 16:12;3699;378;01.06.2020 16:12;1849;252;150
01.06.2020 16:15;2285;251;01.06.2020 16:15;482;96;250
01.06.2020 16:15;2285;251;01.06.2020 16:15;170;28;250
01.06.2020 16:17;0;0;01.06.2020 16:17;498;82;150
01.06.2020 16:21;3591;477;01.06.2020 16:21;1605;182;150
01.06.2020 16:23;1808;328;01.06.2020 16:23;776;132;200
01.06.2020 16:24;0;0;01.06.2020 16:29;523;50;200
01.06.2020 16:30;2178;331;01.06.2020 16:32;1726;247;130
01.06.2020 16:31;14540;975;01.06.2020 16:32;1133;143;500
01.06.2020 16:31;2422;339;01.06.2020 16:31;196;28;150
01.06.2020 16:32;5991;611;01.06.2020 16:32;489;62;200
01.06.2020 16:35;1952;207;01.06.2020 16:35;338;34;140
01.06.2020 16:41;3472;450;01.06.2020 16:41;1895;243;200
01.06.2020 16:43;0;0;01.06.2020 16:44;2007;263;250
01.06.2020 16:54;0;0;01.06.2020 16:54;1126;149;200
01.06.2020 16:54;2615;314;01.06.2020 16:55;1756;212;150
01.06.2020 16:59;1755;280;01.06.2020 16:59;785;114;150
01.06.2020 17:00;1914;287;01.06.2020 17:00;1137;158;150
01.06.2020 17:11;7738;888;01.06.2020 17:12;997;130;250
01.06.2020 17:17;1589;262;01.06.2020 17:17;44;11;150
01.06.2020 17:17;1589;262;01.06.2020 17:17;625;96;150
01.06.2020 17:21;7851;800;01.06.2020 17:29;144;21;250
01.06.2020 17:21;2044;369;01.06.2020 17:24;817;148;180
01.06.2020 17:21;1283;222;01.06.2020 17:21;435;75;150
01.06.2020 17:21;6580;582;01.06.2020 17:22;2106;379;300
01.06.2020 17:22;2812;504;01.06.2020 17:23;1522;240;250
01.06.2020 17:26;3637;506;01.06.2020 17:26;647;128;200
01.06.2020 17:35;0;0;01.06.2020 17:35;417;100;200
01.06.2020 17:45;1526;275;01.06.2020 17:45;30;7;150
01.06.2020 17:46;10029;935;01.06.2020 17:48;7890;762;300
01.06.2020 17:47;0;0;01.06.2020 17:47;685;135;200
01.06.2020 17:48;10152;967;01.06.2020 17:58;342;76;450
01.06.2020 17:49;1034;192;01.06.2020 17:49;24;6;150
01.06.2020 17:52;0;0;01.06.2020 17:53;680;139;200
01.06.2020 17:56;865;156;01.06.2020 17:57;567;70;150
01.06.2020 17:58;1383;148;01.06.2020 17:58;1114;147;150
01.06.2020 18:00;6411;665;01.06.2020 18:01;3504;330;300
01.06.2020 18:03;1603;223;01.06.2020 18:04;377;75;150
01.06.2020 18:03;7037;702;01.06.2020 18:04;531;92;200
01.06.2020 18:06;17224;1116;01.06.2020 18:07;1216;99;550
01.06.2020 18:06;7472;810;01.06.2020 18:06;215;52;250
01.06.2020 18:10;1611;269;01.06.2020 18:10;886;120;150
01.06.2020 18:10;1611;269;01.06.2020 18:10;828;122;150
01.06.2020 18:18;0;0;01.06.2020 18:18;1129;143;200
01.06.2020 18:24;1412;205;01.06.2020 18:25;222;46;150
01.06.2020 18:26;4366;491;01.06.2020 18:27;1220;126;180
01.06.2020 18:27;5459;574;01.06.2020 18:27;1043;165;250
01.06.2020 18:27;5459;574;01.06.2020 18:29;1096;137;250
01.06.2020 18:30;0;0;01.06.2020 18:31;782;144;150
01.06.2020 18:31;1699;286;01.06.2020 18:31;300;66;150
01.06.2020 18:33;4365;495;01.06.2020 18:33;1959;170;200
01.06.2020 18:35;4408;506;01.06.2020 18:35;900;127;200
01.06.2020 18:36;3753;581;01.06.2020 18:38;1462;155;150
01.06.2020 18:36;3753;581;01.06.2020 18:38;866;132;150
01.06.2020 18:48;2829;315;01.06.2020 18:49;2364;252;150
01.06.2020 18:48;2192;336;01.06.2020 18:48;400;72;150
01.06.2020 18:48;2579;298;01.06.2020 18:48;1725;183;150
01.06.2020 18:50;2966;297;01.06.2020 18:50;370;41;170
01.06.2020 18:52;1775;268;01.06.2020 18:52;1203;128;150
01.06.2020 18:55;0;0;01.06.2020 18:55;865;103;180
01.06.2020 18:56;9621;1033;01.06.2020 18:57;1278;223;300
01.06.2020 18:56;5854;513;01.06.2020 18:57;2782;274;190
01.06.2020 18:58;1799;335;01.06.2020 18:58;1102;200;150
01.06.2020 18:59;9263;877;01.06.2020 18:59;1878;289;300
01.06.2020 19:01;2370;344;01.06.2020 19:01;32;8;150
01.06.2020 19:02;4155;406;01.06.2020 19:02;1102;168;250
01.06.2020 19:02;5841;508;01.06.2020 19:03;2769;267;200
01.06.2020 19:05;1208;178;01.06.2020 19:06;1033;135;150
01.06.2020 19:07;0;0;01.06.2020 19:07;1481;302;170
01.06.2020 19:08;3796;551;01.06.2020 19:08;2611;282;200
01.06.2020 19:13;2051;252;01.06.2020 19:14;916;145;150
01.06.2020 19:14;4788;602;01.06.2020 19:14;558;106;180
01.06.2020 19:16;2505;338;01.06.2020 19:16;372;72;200
01.06.2020 19:20;3777;589;01.06.2020 19:23;324;78;200
01.06.2020 19:26;2518;376;01.06.2020 19:27;428;99;150
01.06.2020 19:28;7390;927;01.06.2020 19:28;535;102;250
01.06.2020 19:37;1147;144;01.06.2020 19:37;889;123;150
01.06.2020 19:37;2249;353;01.06.2020 19:37;1720;237;200
01.06.2020 19:43;10313;1212;01.06.2020 19:43;1509;149;300
01.06.2020 19:43;10313;1212;01.06.2020 19:43;8514;971;300
01.06.2020 19:43;0;0;01.06.2020 19:45;678;97;300
01.06.2020 19:43;0;0;01.06.2020 19:44;2145;308;150
01.06.2020 19:46;4563;441;01.06.2020 19:46;1890;196;200
01.06.2020 19:47;2666;352;01.06.2020 19:48;1162;169;150
01.06.2020 19:51;7858;946;01.06.2020 19:51;740;104;300
01.06.2020 19:52;8855;1013;01.06.2020 19:55;904;140;250
01.06.2020 19:53;2728;422;01.06.2020 19:53;1249;185;150
01.06.2020 19:54;2677;351;01.06.2020 19:54;975;160;150
01.06.2020 19:56;2728;422;01.06.2020 19:56;1248;184;150
01.06.2020 19:59;1996;326;01.06.2020 19:59;827;116;150
01.06.2020 19:59;2189;288;01.06.2020 20:09;2024;288;150
01.06.2020 20:01;5608;717;01.06.2020 20:01;1102;219;300
01.06.2020 20:02;1221;197;01.06.2020 20:02;604;115;150
01.06.2020 20:03;1848;259;01.06.2020 20:03;55;9;170
01.06.2020 20:10;4863;583;01.06.2020 20:10;1512;162;250
01.06.2020 20:11;1383;173;01.06.2020 20:11;888;100;200
01.06.2020 20:13;6000;753;01.06.2020 20:13;1029;141;200
01.06.2020 20:13;6000;753;01.06.2020 20:13;599;100;200
01.06.2020 20:15;0;0;01.06.2020 20:17;1245;172;200
01.06.2020 20:21;5877;618;01.06.2020 20:21;2213;220;250
01.06.2020 20:24;3753;434;01.06.2020 20:24;330;48;150
01.06.2020 20:25;1573;273;01.06.2020 20:25;1064;151;150
01.06.2020 20:26;7000;832;01.06.2020 20:28;2473;363;200
01.06.2020 20:29;1063;155;01.06.2020 20:29;894;121;150
01.06.2020 20:34;2319;323;01.06.2020 20:34;1234;167;150
01.06.2020 20:36;0;0;01.06.2020 20:36;906;131;200
01.06.2020 20:37;1931;282;01.06.2020 20:37;1130;164;200
01.06.2020 20:39;1597;256;01.06.2020 20:40;1189;189;150
01.06.2020 20:43;0;0;01.06.2020 20:46;1385;184;200
